Entity,Month,Total_lockdown_length,Total_stay_at_home_requirements,Lockdown_severity,Monthly_death_rates_per_million_people,Monthly_income_support,Monthly_workplace_closures_severity,previous_month_connected_lockdown,long_lockdown,Region,Sub.region,Indicator,Violence_Value,Population,Violence_per_million_people,lockdown_intensity_per_day,dv_percent_change_prev,pre_march_avg_dv,dv_percent_change_baseline,lag_deaths_per_million,lag_violence,mean_deaths_post_march,death_category,first_sig_death_month,death_pct_change_prev,lag_dv_pct_prev,lag_dv_pct_baseline,lag_death_pct_prev,had_significant_deaths,had_long_lockdown,ever_had_long_lockdown,log_deaths,log_dv,long_lockdown_lag,new_wave,lockdown_wave,normalized_lockdown_intensity,lockdown_power_raw,had_long_lockdown_prev,lockdown_power,stay_at_home_power_raw,stay_at_home_power
albania,2019-10,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,112,2877239,38.9262066863406,0,0,35.2421192678119,0.104536489151874,0,0,18.744063258,2,2020-03-01,NA,NA,NA,NA,1,0,1,0,3.6870329174725383,0,0,NA,0,0,0,0,0,0
albania,2019-11,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,81,2877239,28.1519887642285,0,-0.276785714285714,35.2421192678119,-0.201183431952662,0,38.9262066863406,18.744063258,2,2020-03-01,NA,0,0.104536489151874,NA,1,0,1,0,3.3725231356572105,0,0,NA,0,0,0,0,0,0
albania,2019-12,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,113,2877239,39.2737621031829,0,0.395061728395059,35.2421192678119,0.114398422090729,0,28.1519887642285,18.744063258,2,2020-03-01,NA,-0.276785714285714,-0.201183431952662,NA,1,0,1,0,3.6957001924810005,0,0,NA,0,0,0,0,0,0
albania,2020-01,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,111,2877239,38.5786512694983,0,-0.0176991150442463,35.2421192678119,0.0946745562130185,0,39.2737621031829,18.744063258,2,2020-03-01,NA,0.395061728395059,0.114398422090729,NA,1,0,1,0,3.6782898635326324,0,0,NA,0,0,0,0,0,0
albania,2020-02,0,0,0,0,0,0,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90,2877239,31.2799875158094,0,-0.18918918918919,35.2421192678119,-0.112426035502959,0,38.5786512694983,18.744063258,2,2020-03-01,NA,-0.0176991150442463,0.0946745562130185,NA,1,0,1,0,3.4744474566547527,0,0,NA,0,0,0,0,0,0
albania,2020-03,19,19,38,3.53661568,13,42,0,19,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,90,2877239,31.2799875158094,2,0,35.2421192678119,-0.112426035502959,0,31.2799875158094,18.744063258,2,2020-03-01,NA,-0.18918918918919,-0.112426035502959,NA,1,1,1,1.5121812891371056,3.4744474566547527,0,1,1,1.2258064516129032,23.29032258064516,0,23.29032258064516,23.29032258064516,23.29032258064516
albania,2020-04,30,30,60,7.07323136,46,60,1,49,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,96,2877239,33.3653200168634,2,0.066666666666668,35.2421192678119,-0.0532544378698217,3.53661568,31.2799875158094,18.744063258,2,2020-03-01,1,0,-0.112426035502959,NA,1,1,1,2.088553818493499,3.53704791682072,19,0,1,2,60,1,83.29032258064515,60,83.29032258064515
albania,2020-05,31,31,62,1.06098471,56,62,1,80,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,127,2877239,44.1395379389755,2,0.322916666666666,35.2421192678119,0.252465483234714,7.07323136,33.3653200168634,18.744063258,2,2020-03-01,-0.8499999991517313,0.066666666666668,-0.0532544378698217,1,1,1,1,0.7231838831520306,3.8097585351601166,49,0,1,2,62,1,122,62,122
albania,2020-06,0,30,30,7.78055448,30,60,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,159,2877239,55.26131127793,1,0.251968503937009,35.2421192678119,0.568047337278108,1.06098471,44.1395379389755,18.744063258,2,2020-03-01,6.333333276782094,0.322916666666666,0.252465483234714,-0.8499999991517313,1,0,1,2.1725395582725726,4.030007110254191,80,0,NA,1,0,1,0,30,30
albania,2020-07,0,31,31,33.59784928,31,62,0,0,Europe,Southern Europe,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,158,2877239,54.9137558610877,1,-0.00628930817610009,35.2421192678119,0.558185404339252,7.78055448,55.26131127793,18.744063258,2,2020-03-01,3.318181868189939,0.251968503937009,0.568047337278108,6.333333276782094,1,0,1,3.543791520594122,4.023810429693174,0,0,NA,1,0,0,0,31,31
