Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
mongolia,2020-06,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,18,NA
mongolia,2020-06,0,Sexual violence by IPFM* (domestic violence): Female victims,7,NA
mongolia,2020-06,0,Physical asault by IPFM* (domestic violence): Female victims,11,NA
mongolia,2020-07,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,25,NA
mongolia,2020-07,0,Sexual violence by IPFM* (domestic violence): Female victims,11,NA
mongolia,2020-07,0,Physical asault by IPFM* (domestic violence): Female victims,14,NA
mongolia,2020-08,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,17,NA
mongolia,2020-08,0,Sexual violence by IPFM* (domestic violence): Female victims,12,NA
mongolia,2020-08,0,Physical asault by IPFM* (domestic violence): Female victims,5,NA
myanmar,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,11,NA
myanmar,2020-01,0,Sexual violence by IPFM* (domestic violence): Female victims,11,NA
myanmar,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,19,NA
